header,header,header
"Metroid Prime","Phazon Mines - Elite Control (Only in original NTSC version)","Test subject Z-d, hereafter referred to as Metroid Prime, was recently discovered in a cavern by mining crews. It quickly dispatched the miners, but was eventually contained by security units and drones. Once contained, we were able to begin studies upon Metroid Prime. The results have been astonishing. It is genetically similar to a Metroid, albeit on a high evolved level. It displays a limitless capacity for Phazon infusion and shows no Phazon-based degeneration whatsoever. It continues to grow in size, and while it has manifested some psychotic behavior, the cold field we use to pacify remain effective. Authorization for advanced studies on Metroid Prime have been approved."
"Impact Crater","Phazon Mines - Elite Control (Only in PAL/Trilogy Version)","Investigations into a possible ingress point for the Impact Crater continue to meet with failure. The shield of strange energy that protects it is impermeable, and all attempts to tunnel past it have proved fruitless. Our continued futility in this matter is made all the more significant in light of recent life form readings we've discovered emanating from deep within the crater. Analysis of the readings indicates that a massive creature is gestating in there, absorbing enormous amounts or Phazon from the Phazon core at the heart of the impact crater. This discovery makes accessing the crater doubly important - not only will it open the door to the vast deposits of Phazon within, but it will also lead us to this creature, whatever it may be."
"Mining Status","Phendrana Drifts - Research Lab Hydra","Mining operations have begun near the crater where Phazon appears to be most concentrated. Daily Phazon yields have increased 44%, and our mining system becomes more streamlined as personnel and equipment flows increase. Several incidents of Phazon-induced madness have been reported, prompting augmented life-support regulations in the deeper chambers. Symptoms include loss of equilibrium, erratic respiration, muscle spasms, and in the most extreme cases, hallucinations. A timeline reassessment for the refinery operation is recommended, as the material proves more unstable than initial analysis indicated."
"Artifact Site","Tallon Overworld - Temple Security Station","Field team reports are in on an aged structure of alien design built on the surface of Tallon IV. Studies show this structure projects a containment field. This field bars access to a prime source of energy within a deep crater. Science Team believes the field is powered by a number of strange Chozo artifacts. Studies for possible resting places for these talisman have begun. As the field could hinder future energy production operations on Tallon IV, we must dismantle it as soon as possible. If this means the destruction of the Chozo Artifacts, it will be done."
"Special Forces","Phazon Mines - Metroid Quarantine B","As we continue to observe the development of Project Helix's Elite Pirates, it becomes increasing obvious that these warriors will usher in a new era of Space Pirate dominance. They are incredibly resistant to damage, and their ability to transport and wield so many weapons at once makes them the ideal mainstays if our ground forces. Though they are not as quick as typical Pirates, it makes little difference. With a platoon of Elite Pirates in the vanguard of an army of normal and Flying Pirates, we will have near-indestructible backbone that should turn the tide in any engagement."
"Metroid Forces","Phendrana Drifts - Research Lab Aether","Studies of Metroid biology continue, though with limited progress. It seems likely that we will be much more successful using the Metroids for our means rather than trying to reproduce their powers. If they could be adequately tamed, we would have no need of a proper understanding of their metabolism. A small force of disciplined Metroids could wipe out entire armies, and once we find a way to shield them from cold-containment weapons, they will be invincible. Furthermore, if we could then harvest the energy they'd consumed, we would have a near-limitless source of power at our disposal."
"Chozo Studies","Phazon Mines - Elite Control","Results are in from field studies on extinct bioform group Chozo. We believe that Tallon IV was once a stronghold in a great Chozo empire, brought low by the meteor strike. Planetary devastation brought an end to the Chozo, yet remnants of their society remain. We are studying these relics in attempt to harness their power. What is of no use to us, we destroy. In time, we shall have all we need from this dead race, and shall wipe this planet clean of their ugly Ruins. The dead should serve the living, not hinder them."
"Fall of Zebes","Frigate Orpheon - Biohazard Containment (Limited Scan)","Zebes has fallen. All ground personnel are presumed dead, either killed by the Hunter clad in metal or in the subsequent destruction of the underground facilities. Our research frigates Orpheon, Siriacus and Vol Paragom were in orbit at zero hour and managed to retreat. Frigate Orpheon is now docked at Vortex Outpost. Orpheon's cargo appears to have a 100% survival rate; Metroids are healthy but on restricted feeding schedules due to uncertain supply status. We are ready to begin research on the Metroids and other promising life-forms. Security status remains at Code Blue; no signs of pursuit from the Hunter."
"Prime Mutations","Phazon Mines - Elite Control (Only in original NTSC version)","Metroid Prime continues to feed and grow ever larger in the impact crater caves. Its hunger knows no bounds, and it has begun to manifest unusual mutations since its breach. These include armor plating on its epidermis and mechanical outgrowths that generate defense screens. These screens render it invulnerable to most weapon systems, but a flaw in the mutation leads to increased vulnerability to certain weapons. It compensates for this by shifting the screens quickly. This latest development concerns Security units greatly: they feel it's a matter of time before Metroid Prime corrects this defect and renders itself invulnerable to all weaponry. Containment would be nigh impossible if this were to occur."
"The Key","Phazon Mines - Elite Control (Only in PAL/Trilogy version)","Although we are no closer to finding the artifacts of the Chozo, we have at least produced a viable hypothesis for their function. It appears that each of the artifacts corresponds to one of the statues on the temple platform, and that each one acts as a small key to a huge lock. Judging by the number of statues, we assume there must be twelve artifacts. Once we find the resting spots of all twelve, we can bring them here, unite them with their statues, and open the gate system at long last. Once we do, the impact crater - and whatever creature it shelters - will be ours for the taking."
